instance_type,start_time,hostname,ssd_device,writer_threads,runtime_seconds,preinitialize,capacity_fraction,max_iops,iops,utilization_iop,use_fsync,uuid,spiky,min,max,p50th,p75th,p90th,p99th,p999th
i3en.12xlarge,1721206683,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,185734432593440695006080038625044627927,true,76638,204798,140350,160828,171208,179593,185571
i3en.12xlarge,1721206983,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,246469950192434630840247335175916424810,true,77341,359572,141209,161251,171474,179602,185139
i3en.12xlarge,1721207283,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,101243929966456417722447390387252212353,true,76136,310064,140565,160521,170705,178980,186780
i3en.12xlarge,1721207583,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,277706915257116359698869487493888345444,true,75152,8562705,141288,161419,171497,179476,185447
i3en.12xlarge,1721207883,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,222309604734253485455471976378424714304,false,28928,436753,38849,41646,44284,49625,60974
i3en.12xlarge,1721208183,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,34470725353207418137939803966849632312,false,32078,447762,46921,49594,52118,58390,243648
i3en.12xlarge,1721208483,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,192149853742564644103962436605001644478,false,35035,327992,54098,57783,61455,68569,313270
i3en.12xlarge,1721208783,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,323035305827512306988622310864918576822,false,36365,397656,58221,62316,66031,74096,275223
i3en.12xlarge,1721210388,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,150252937858305632410343214467356542201,false,28571,437460,38693,41423,44611,51103,65048
i3en.12xlarge,1721210688,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,223669128755647250658055348464457536439,false,32965,374340,46888,49643,52406,59454,338705
i3en.12xlarge,1721210988,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,221857700762632058658039692884967378759,false,35970,546861,54196,57862,61493,68551,313263
i3en.12xlarge,1721211288,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,139094977180731963894701430713570542342,false,38399,3399992,58235,62292,66013,74385,275268
i3en.12xlarge,1721211588,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,100000,0.5,true,180976750395732343989123457279445629847,true,78389,200142,140987,161090,171360,180177,186212
i3en.12xlarge,1721211888,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,120000,0.6,true,159779175894210817531232146433474771031,true,41434,530578,142111,162166,172375,180485,186446
i3en.12xlarge,1721212188,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,140000,0.7,true,201261628222849366635413965931192337549,true,74912,203107,140854,161075,171075,179069,183949
i3en.12xlarge,1721212488,ip-172-31-36-22.us-east-2.compute.internal,nvme1n1,42,300,false,0.5,200000,160000,0.8,true,326479917815370476306662903838050903565,true,77021,499163,141399,161495,171796,179740,185200
